linked_public_doc,internal_date,internal_text,internal_event_type,internal_aspect,final_internal_sentiment,is_gap_case,public_date,public_headline,public_text,public_event_type,public_aspect,baseline_sentiment,finbert_sentiment,finbert_score,final_public_sentiment,gap_days,sentiment_gap_score,narrative_gap_flag,risk_score,advisory_output,high_priority_flag
news_023852,2020-05-03 00:00:00,"Based on internal discussion, Discussion points to a stronger earnings outcome than expected.",EARNINGS,timing,positive,True,2020-05-05 00:00:00,BNP warns of 2020 profit fall as crisis wipes out equity trading,BNP warns of 2020 profit fall as crisis wipes out equity trading. BNP Paribas set aside more than half a billion euros in loan provisions on Tuesday as the coronavirus crisis wiped out the French bank's revenue from equity derivatives trading and knocked a third off its first quarter profit,EARNINGS,timing,negative,negative,0.9744502902030944,negative,2,2,1,12,Internal discussion shows positive sentiment regarding EARNINGS 2 day(s) before public reporting remains negative.,1
news_012666,2019-01-31 00:00:00,"From the tone of recent messages, Discussion suggests the partnership could be more meaningful than reported. Flag for review.",PARTNERSHIP,strategic_event,positive,True,2019-02-03 00:00:00,Oldies are pampered. We should offer a new deal to the young,Oldies are pampered. We should offer a new deal to the young,PARTNERSHIP,strategic_event,neutral,neutral,0.6242861151695251,neutral,3,1,1,10,Internal discussion shows positive sentiment regarding PARTNERSHIP 3 day(s) before public reporting remains neutral.,1
news_012078,2019-03-04 00:00:00,Internal sentiment indicates that There seems to be stronger belief in the strategic value of this deal. Flag for review.,PARTNERSHIP,strategic_event,positive,True,2019-03-07 00:00:00,How five smaller UK firms are preparing for a no-deal Brexit,How five smaller UK firms are preparing for a no-deal Brexit,PARTNERSHIP,strategic_event,neutral,neutral,0.8388141393661499,neutral,3,1,1,10,Internal discussion shows positive sentiment regarding PARTNERSHIP 3 day(s) before public reporting remains neutral.,1
news_002517,2018-03-17 19:46:00,"From the tone of recent messages, There seems to be positive momentum around performance expectations. Keep an eye on this.",EARNINGS,revenue_growth,positive,True,2018-03-19 19:46:00,Cramer: Etsy is a buy after proving it can stave off Amazon,Cramer: Etsy is a buy after proving it can stave off Amazon. Jim Cramer comes around on e-commerce platform Etsy following its latest earnings report,EARNINGS,revenue_growth,neutral,neutral,0.6191426515579224,neutral,2,1,1,10,Internal discussion shows positive sentiment regarding EARNINGS 2 day(s) before public reporting remains neutral.,1
news_049314,2018-06-25 00:00:00,Internal sentiment indicates that There seems to be growing confidence around the deal. Worth monitoring.,M&A,regulatory,positive,True,2018-06-27 00:00:00,Trump to use U.S. security review panel to curb China tech investments,"Trump to use U.S. security review panel to curb China tech investments. U.S. President Donald Trump said on Wednesday he will use a strengthened national security review process to thwart Chinese acquisitions of sensitive American technologies, a softer approach than imposing China-specific investment restrictions",M&A,regulatory,neutral,positive,0.475922554731369,neutral,2,1,1,10,Internal discussion shows positive sentiment regarding M&A 2 day(s) before public reporting remains neutral.,1
news_041669,2019-02-13 00:00:00,"Based on internal discussion, There seems to be concern that this issue may escalate. Could be important.",REGULATORY,regulatory,negative,True,2019-02-15 00:00:00,"Venezuela opposition to leave Citgo funds, management untouched: envoy","Venezuela opposition to leave Citgo funds, management untouched: envoy. Venezuela's opposition has no plans to use funds belonging to U.S. refiner Citgo, which is owned by state oil company PDVSA, despite having named a new board for the company this week, the self-declared interim government's U.S. envoy said on Friday",REGULATORY,regulatory,negative,neutral,0.902971625328064,neutral,2,-1,1,10,"Internal discussion raises regulatory concern ahead of public reporting. Internal sentiment is negative, appearing 2 day(s) earlier than external coverage.",1
news_000185,2020-04-27 18:48:00,"Based on internal discussion, Discussion points to a stronger earnings outcome than expected. Flag for review.",EARNINGS,valuation,positive,True,2020-04-29 18:48:00,"Jim Cramer reacts to AMD, Starbucks, Boeing, GE and Alphabet earnings reports","Jim Cramer reacts to AMD, Starbucks, Boeing, GE and Alphabet earnings reports. The ""Mad Money"" host offered his thoughts on each companies' latest quarterly results and recommended multiple stocks for buys",EARNINGS,valuation,neutral,neutral,0.9353519678115844,neutral,2,1,1,10,Internal discussion shows positive sentiment regarding EARNINGS 2 day(s) before public reporting remains neutral.,1
news_017438,2018-05-25 00:00:00,There seems to be stronger belief in the strategic value of this deal. Keep an eye on this.,PARTNERSHIP,strategic_event,positive,True,2018-05-27 00:00:00,The Mediterranean diet is in retreat even in Italy. What now for the foodies’ ideal?,The Mediterranean diet is in retreat even in Italy. What now for the foodies’ ideal?,PARTNERSHIP,strategic_event,neutral,neutral,0.8898484110832214,neutral,2,1,1,8,Internal discussion shows positive sentiment regarding PARTNERSHIP 2 day(s) before public reporting remains neutral.,1
news_037481,2019-05-30 00:00:00,Internal sentiment indicates that There seems to be stronger belief in the strategic value of this deal.,PARTNERSHIP,strategic_event,positive,True,2019-06-01 00:00:00,Total takes on Toshiba's U.S. LNG business after Chinese buyer pulls out,"Total takes on Toshiba's U.S. LNG business after Chinese buyer pulls out. Total will take over Toshiba's U.S. liquefied natural gas business and get $800 million cash from the Japanese group as part of the deal, the companies said on Saturday, weeks after attempts to sell it to a Chinese buyer fell through",PARTNERSHIP,strategic_event,neutral,neutral,0.798576295375824,neutral,2,1,1,8,Internal discussion shows positive sentiment regarding PARTNERSHIP 2 day(s) before public reporting remains neutral.,1
news_010135,2019-06-25 00:00:00,There seems to be stronger belief in the strategic value of this deal. Worth monitoring.,PARTNERSHIP,strategic_event,positive,True,2019-06-27 00:00:00,Vauxhall Astra to be built in UK if ministers avoid no-deal Brexit,Vauxhall Astra to be built in UK if ministers avoid no-deal Brexit,PARTNERSHIP,strategic_event,neutral,neutral,0.7830680012702942,neutral,2,1,1,8,Internal discussion shows positive sentiment regarding PARTNERSHIP 2 day(s) before public reporting remains neutral.,1
