linked_public_doc,internal_date,public_date,gap_days,internal_event_type,internal_aspect,public_baseline_sentiment,internal_sentiment,sentiment_gap_score,narrative_gap_flag,risk_score,public_headline,internal_text
news_030037,2019-12-17 00:00:00,2019-12-18 00:00:00,1,IPO,general,positive,neutral,-1,1,5,"Despite IPO flameouts, 2019 sets record for U.S. unicorn births",Internal sentiment indicates that Internal tone points to optimism around the offering. Worth monitoring.
news_017317,2018-05-27 00:00:00,2018-06-01 00:00:00,5,FORECAST,general,positive,positive,0,0,12,Business live Markets shrug off trade war fears and Spanish vote as US jobs beat forecasts - as it happened,Internal sentiment indicates that Discussion suggests expectations are more positive than public commentary. Worth monitoring.
news_002154,2018-07-06 08:31:00,2018-07-11 08:31:00,5,EARNINGS,revenue_growth,positive,positive,0,0,12,"Not even strong earnings can prevent a 10 percent plunge, top Invesco market watcher warns","Based on internal discussion, Expectations internally seem stronger than public coverage suggests. Worth monitoring."
news_046632,2018-09-16 00:00:00,2018-09-21 00:00:00,5,REGULATORY,regulatory,negative,negative,0,0,12,Exclusive: AB InBev faces EU antitrust fine in Belgian beer case - sources,"Based on internal discussion, There is concern internally that this could draw more scrutiny. Could be important."
news_045526,2018-10-20 00:00:00,2018-10-25 00:00:00,5,EARNINGS,timing,positive,positive,0,0,12,"Merck, Bristol-Myers profits rise on cancer drug sales",Expectations internally seem stronger than public coverage suggests. Flag for review.
news_039926,2019-03-23 00:00:00,2019-03-28 00:00:00,5,REGULATORY,regulatory,negative,negative,0,0,12,Nestle to face lawsuit saying Poland Spring water not from a spring: U.S. judge,"Based on internal discussion, Team appears cautious about the investigation risk here. Could be important."
news_038954,2019-04-18 00:00:00,2019-04-23 00:00:00,5,REGULATORY,regulatory,negative,negative,0,0,12,"GE's WMC Mortgage unit, felled by financial crisis, files Chapter 11 bankruptcy",Internal sentiment indicates that Discussion suggests the regulatory angle may become more serious. Keep an eye on this.
news_038746,2019-04-21 00:00:00,2019-04-26 00:00:00,5,EARNINGS,valuation,positive,positive,0,0,12,"S&P, Nasdaq notch record closes from GDP, earnings boost",Team appears confident the results will come in well. Could be important.
news_032142,2019-10-24 00:00:00,2019-10-29 00:00:00,5,EARNINGS,timing,positive,positive,0,0,12,"Merck to ramp up Gardasil vaccine production, flags 'tempered' sales growth in 2020","From the tone of recent messages, Internal tone suggests confidence around the next results cycle. Could be important."
news_029139,2020-01-16 00:00:00,2020-01-21 00:00:00,5,EARNINGS,valuation,positive,positive,0,0,12,IBM forecasts full-year profit above estimates on cloud growth,Internal sentiment indicates that Team appears confident the results will come in well.
news_005383,2020-03-12 00:00:00,2020-03-17 00:00:00,5,REGULATORY,regulatory,negative,negative,0,0,12,Metro Bank hit with fresh lawsuit by Iranian customers,The current internal view is that There is concern internally that this could draw more scrutiny. Flag for review.
news_024587,2020-04-15 00:00:00,2020-04-20 00:00:00,5,REGULATORY,regulatory,negative,negative,0,0,12,U.S. Supreme Court sides with BP unit to curtail Superfund site cleanup lawsuits,There seems to be concern that this issue may escalate. Could be important.
news_002914,2020-07-08 00:00:00,2020-07-13 00:00:00,5,REGULATORY,regulatory,negative,negative,0,0,12,Gold trade body urged to suspend refinery over alleged abuses in Tanzania,The current internal view is that Internal tone points to elevated compliance sensitivity. This may matter soon.
news_001866,2018-10-07 19:06:00,2018-10-12 19:06:00,5,PARTNERSHIP,revenue_growth,positive,positive,0,0,10,"Cannabis could disrupt a $500 billion market, says CEO of top marijuana maker after deal with DEA",Internal tone is more confident around the agreement.
news_043122,2019-01-05 00:00:00,2019-01-10 00:00:00,5,PARTNERSHIP,valuation,positive,positive,0,0,10,"Stocks boosted by U.S.-China trade hope, oil prices soar",Team comments suggest that Team appears optimistic about the contract impact. Could be important.
news_035512,2019-07-25 00:00:00,2019-07-30 00:00:00,5,PARTNERSHIP,strategic_event,positive,positive,0,0,10,Enterprise Products in deal with Chevron to develop crude oil port,The current internal view is that The internal view seems more positive than the public framing. Could be important.
news_052836,2018-03-22 00:00:00,2018-03-26 00:00:00,4,M&A,strategic_event,positive,positive,0,0,10,DISH executive testifies against planned AT&T merger with Time Warner,Team comments suggest that Internal discussion suggests the merger is progressing well.
news_041477,2019-02-17 00:00:00,2019-02-21 00:00:00,4,REGULATORY,regulatory,negative,negative,0,0,10,Swedish and Estonian watchdogs open joint Swedbank probe,Internal tone points to elevated compliance sensitivity. Could be important.
news_034185,2019-09-05 00:00:00,2019-09-09 00:00:00,4,REGULATORY,regulatory,negative,negative,0,0,10,U.S. House panel to review DOJ automaker antitrust probe,Internal tone points to elevated compliance sensitivity. Worth monitoring.
news_032130,2019-10-25 00:00:00,2019-10-29 00:00:00,4,EARNINGS,timing,positive,positive,0,0,10,ConocoPhillips profit beats estimates on higher production,Team appears confident the results will come in well. Could be important.
news_029471,2020-01-06 00:00:00,2020-01-10 00:00:00,4,REGULATORY,regulatory,negative,negative,0,0,10,"U.S. to probe Fitbit, Garmin, other wearable devices after Philips complains",Internal sentiment indicates that Discussion suggests the regulatory angle may become more serious. Worth monitoring.
news_028675,2020-01-27 00:00:00,2020-01-31 00:00:00,4,REGULATORY,regulatory,negative,negative,0,0,10,Westpac hit with class-action suit in U.S. linked to money-laundering case,There seems to be concern that this issue may escalate. Could be important.
news_031405,2019-11-08 00:00:00,2019-11-12 00:00:00,4,PARTNERSHIP,valuation,positive,positive,0,0,8,S&P 500 ekes out gain after Trump trade remarks,The current internal view is that Team appears optimistic about the contract impact. This may matter soon.
news_044054,2018-12-03 00:00:00,2018-12-06 00:00:00,3,REGULATORY,regulatory,negative,negative,0,0,8,J&J unit to pay $360 million to U.S. to resolve charity kickback probe,"From the tone of recent messages, Internal tone points to elevated compliance sensitivity. Flag for review."
news_013291,2018-12-29 00:00:00,2019-01-01 00:00:00,3,REGULATORY,regulatory,negative,negative,0,0,8,Ex-employee describes 'cut-throat' culture at firm that fines sick staff,Internal sentiment indicates that Discussion suggests the regulatory angle may become more serious. Flag for review.
news_037382,2019-06-01 00:00:00,2019-06-04 00:00:00,3,REGULATORY,regulatory,negative,negative,0,0,8,U.S. moving toward major antitrust probe of tech giants,Discussion suggests the regulatory angle may become more serious. Could be important.
news_035986,2019-07-12 00:00:00,2019-07-15 00:00:00,3,REGULATORY,regulatory,negative,negative,0,0,8,"Opioid 'kingpin' J&J fueled epidemic, Oklahoma argues at trial's end",Team comments suggest that There seems to be concern that this issue may escalate. Worth monitoring.
news_024514,2020-04-18 00:00:00,2020-04-21 00:00:00,3,REGULATORY,regulatory,negative,negative,0,0,8,Corporate America seeks legal protection for when coronavirus lockdowns lift,"Based on internal discussion, There seems to be concern that this issue may escalate."
news_047042,2018-09-07 00:00:00,2018-09-10 00:00:00,3,IPO,valuation,positive,positive,0,0,6,Aston Martin adds FTSE experience to its board ahead of IPO,Internal sentiment indicates that Team appears more positive on the listing than public commentary suggests. Worth monitoring.
news_040618,2019-03-10 00:00:00,2019-03-13 00:00:00,3,IPO,timing,positive,positive,0,0,6,VW halts truck unit IPO until market conditions improve,Internal sentiment indicates that Internal discussion suggests confidence around the listing process.
news_050104,2018-06-04 00:00:00,2018-06-06 00:00:00,2,EARNINGS,revenue_growth,positive,positive,0,0,6,Online shopping boom keeps hopes high for air freight profits,"From the tone of recent messages, Discussion points to a stronger earnings outcome than expected. Worth monitoring."
news_045561,2018-10-22 00:00:00,2018-10-24 00:00:00,2,EARNINGS,timing,positive,positive,0,0,6,Microsoft sales and profit beat estimates on cloud growth,"Based on internal discussion, Team appears confident the results will come in well."
news_044024,2018-12-05 00:00:00,2018-12-07 00:00:00,2,REGULATORY,regulatory,negative,negative,0,0,6,Nissan blamed Ghosn probe for CEO no-show in Amsterdam: sources,"From the tone of recent messages, Internal tone points to elevated compliance sensitivity."
news_041669,2019-02-13 00:00:00,2019-02-15 00:00:00,2,REGULATORY,regulatory,negative,negative,0,0,6,"Venezuela opposition to leave Citgo funds, management untouched: envoy","Based on internal discussion, There seems to be concern that this issue may escalate. Could be important."
news_011716,2019-03-27 00:00:00,2019-03-29 00:00:00,2,REGULATORY,regulatory,negative,negative,0,0,6,Nestlé to face lawsuit saying Poland Spring water not from a spring,"From the tone of recent messages, Team appears cautious about the investigation risk here. Keep an eye on this."
news_009410,2019-08-07 00:00:00,2019-08-09 00:00:00,2,FORECAST,valuation,positive,positive,0,0,6,WPP shares bounce back as company beats City forecasts,Internal sentiment appears more confident than public forecasts. Keep an eye on this.
news_031297,2019-11-12 00:00:00,2019-11-14 00:00:00,2,EARNINGS,valuation,positive,positive,0,0,6,Tesla's difficult path to profit in six charts,Internal sentiment indicates that There seems to be positive momentum around performance expectations. This may matter soon.
news_030837,2019-11-24 00:00:00,2019-11-26 00:00:00,2,FORECAST,revenue_growth,positive,positive,0,0,6,"Abercrombie & Fitch trims forecast as Hollister, international business drag",The current internal view is that Discussion suggests expectations are more positive than public commentary. Could be important.
news_050219,2018-06-04 00:00:00,2018-06-04 00:00:00,0,EARNINGS,timing,neutral,negative,-1,0,5,"Lufthansa eyes another record summer, but sticks to profit target",The current internal view is that Team appears confident the results will come in well.
news_049203,2018-06-29 00:00:00,2018-06-29 00:00:00,0,REGULATORY,regulatory,neutral,negative,-1,0,5,Missouri appeals court tosses $55 million J&J talc-powder verdict,"Based on internal discussion, Internal tone points to elevated compliance sensitivity. Keep an eye on this."
news_045640,2018-10-23 00:00:00,2018-10-23 00:00:00,0,M&A,strategic_event,neutral,positive,1,0,5,Saudi Aramco CEO says bankers have not raised concerns about funding costs on SABIC deal,The current internal view is that There seems to be growing confidence around the deal.
news_043839,2018-12-13 00:00:00,2018-12-13 00:00:00,0,EARNINGS,valuation,negative,neutral,1,0,5,Delta Air Lines shares drop on weak revenue outlook,"Based on internal discussion, Team appears confident the results will come in well. Flag for review."
news_032101,2019-10-29 00:00:00,2019-10-29 00:00:00,0,EARNINGS,revenue_growth,positive,neutral,-1,0,5,"Wall St. dips after S&P notches record, Fed on deck","Based on internal discussion, Expectations internally seem stronger than public coverage suggests. Worth monitoring."
news_032014,2019-10-30 00:00:00,2019-10-30 00:00:00,0,EARNINGS,timing,positive,neutral,-1,0,5,"Lyft sees 'path to profitability' as riders, revenues increase",Internal sentiment indicates that There seems to be positive momentum around performance expectations. Keep an eye on this.
news_030284,2019-12-11 00:00:00,2019-12-11 00:00:00,0,FORECAST,timing,positive,neutral,-1,0,5,Home Depot says peak investments to pressure 2020 margins,Team appears more confident on the outlook than external coverage shows. This may matter soon.
news_029406,2020-01-13 00:00:00,2020-01-13 00:00:00,0,EARNINGS,timing,positive,neutral,-1,0,5,"Wall Street hits record, boosted by trade and earnings optimism",Internal sentiment indicates that Internal tone suggests confidence around the next results cycle. Keep an eye on this.
news_023981,2020-04-30 00:00:00,2020-04-30 00:00:00,0,EARNINGS,revenue_growth,negative,neutral,1,0,5,"Fed expands 'Main Street' program to firms with up to 15,000 workers",There seems to be positive momentum around performance expectations. This may matter soon.
news_021996,2020-06-19 00:00:00,2020-06-19 00:00:00,0,EARNINGS,revenue_growth,positive,neutral,-1,0,5,Air freight rates head back to earth as virus-driven boom cools,"From the tone of recent messages, Discussion points to a stronger earnings outcome than expected. Flag for review."
news_020832,2020-07-14 00:00:00,2020-07-14 00:00:00,0,REGULATORY,regulatory,neutral,negative,-1,0,5,"Google hit with 600,000 euro Belgian privacy fine",Team comments suggest that Internal tone points to elevated compliance sensitivity. Worth monitoring.
news_020554,2017-12-17 00:00:00,2017-12-18 00:00:00,1,REGULATORY,regulatory,neutral,neutral,0,0,4,Amazon Prime could face investigation over delivery complaints,"Based on internal discussion, There is concern internally that this could draw more scrutiny."
news_020262,2018-01-05 00:00:00,2018-01-06 00:00:00,1,REGULATORY,regulatory,negative,negative,0,0,4,Intel facing class-action lawsuits over Meltdown and Spectre bugs,"From the tone of recent messages, Team appears cautious about the investigation risk here. Flag for review."
news_002720,2018-01-16 19:08:00,2018-01-17 19:08:00,1,EARNINGS,revenue_growth,neutral,neutral,0,0,4,Cramer remains confident on most major banks after earnings,Expectations internally seem stronger than public coverage suggests.
news_053043,2018-03-20 00:00:00,2018-03-21 00:00:00,1,REGULATORY,regulatory,neutral,neutral,0,0,4,Brazil prosecutors open investigation into Cambridge Analytica,Internal sentiment indicates that There seems to be concern that this issue may escalate.
news_053048,2018-03-20 00:00:00,2018-03-21 00:00:00,1,M&A,strategic_event,neutral,neutral,0,0,4,Bayer wins EU approval for $62.5 billion Monsanto buy,Internal sentiment indicates that Team seems confident the acquisition will go through. This may matter soon.
news_052280,2018-04-08 00:00:00,2018-04-09 00:00:00,1,REGULATORY,valuation,positive,positive,0,0,4,Wall Street rises but pares gains late after report of FBI raid,Team comments suggest that Team appears cautious about the investigation risk here. Flag for review.
news_018174,2018-04-17 00:00:00,2018-04-18 00:00:00,1,M&A,general,neutral,neutral,0,0,4,Hammerson abandons planned £3.4bn buyout of rival Intu,Internal sentiment indicates that Looks like this deal is likely to move ahead. Could be important.
news_051714,2018-04-23 00:00:00,2018-04-24 00:00:00,1,EARNINGS,timing,neutral,neutral,0,0,4,Deutsche Bank may reveal investment bank revamp on Thursday: source,Team comments suggest that There seems to be positive momentum around performance expectations. This may matter soon.
news_051570,2018-04-25 00:00:00,2018-04-26 00:00:00,1,EARNINGS,timing,positive,positive,0,0,4,"Microsoft tops estimates as Azure, Office products drive gains","From the tone of recent messages, There seems to be positive momentum around performance expectations."
news_051537,2018-04-26 00:00:00,2018-04-27 00:00:00,1,EARNINGS,timing,positive,positive,0,0,4,Refiner Phillips 66 profit beats as chemicals unit outperforms,Team comments suggest that Team appears confident the results will come in well. Keep an eye on this.
news_050683,2018-05-20 00:00:00,2018-05-21 00:00:00,1,M&A,timing,neutral,neutral,0,0,4,Exclusive: Ousted MGM CEO explores bid for the U.S. movie studio - sources,The current internal view is that Team seems confident the acquisition will go through. Flag for review.
news_050026,2018-06-06 00:00:00,2018-06-07 00:00:00,1,REGULATORY,regulatory,negative,negative,0,0,4,Yahoo's EU regulator orders privacy changes over data breach,Internal sentiment indicates that Internal tone points to elevated compliance sensitivity. Worth monitoring.
news_049641,2018-06-17 00:00:00,2018-06-18 00:00:00,1,REGULATORY,regulatory,negative,negative,0,0,4,U.S. top court mulls Apple's App Store commissions in antitrust case,"From the tone of recent messages, Team appears cautious about the investigation risk here."
news_016377,2018-07-18 00:00:00,2018-07-19 00:00:00,1,REGULATORY,regulatory,negative,negative,0,0,4,Donald Trump lambasts EU over $5.1bn fine for Google,The current internal view is that Internal tone points to elevated compliance sensitivity. Flag for review.
news_016255,2018-07-25 00:00:00,2018-07-26 00:00:00,1,FORECAST,general,positive,positive,0,0,4,Sky posts forecast-beating annual results as bidding war rages on,The current internal view is that Team appears more confident on the outlook than external coverage shows. Keep an eye on this.
news_016244,2018-07-27 00:00:00,2018-07-28 00:00:00,1,EARNINGS,revenue_growth,neutral,neutral,0,0,4,Nils Pratley on finance Facebook's share slump is justified – costs are rising faster than revenue,Expectations internally seem stronger than public coverage suggests.
news_016150,2018-08-01 00:00:00,2018-08-02 00:00:00,1,FORECAST,valuation,neutral,neutral,0,0,4,Can Apple pip others to be first with trillion dollar valuation?,Internal sentiment appears more confident than public forecasts. Flag for review.
news_047897,2018-08-07 00:00:00,2018-08-08 00:00:00,1,M&A,strategic_event,neutral,neutral,0,0,4,Beer drinkers lose U.S. appeal over Anheuser-SABMiller merger,Internal sentiment indicates that Team seems confident the acquisition will go through. Could be important.
news_046499,2018-09-25 00:00:00,2018-09-26 00:00:00,1,EARNINGS,revenue_growth,negative,negative,0,0,4,Lyft revenue more than doubled in first half of 2018: The Information,"From the tone of recent messages, There seems to be positive momentum around performance expectations. This may matter soon."
news_046464,2018-09-26 00:00:00,2018-09-27 00:00:00,1,FORECAST,timing,positive,positive,0,0,4,"U.S. capital goods orders, trade data temper third-quarter growth forecasts",There seems to be stronger upside conviction internally. Flag for review.
news_015026,2018-09-30 00:00:00,2018-10-01 00:00:00,1,EARNINGS,revenue_growth,neutral,neutral,0,0,4,Ryanair warns over profits as strikes and oil price take toll,The current internal view is that Internal tone suggests confidence around the next results cycle. Worth monitoring.
news_014868,2018-10-08 00:00:00,2018-10-09 00:00:00,1,FORECAST,revenue_growth,positive,positive,0,0,4,Business live FTSE 100 hits six-month low as IMF slashes growth forecasts - as it happened,The current internal view is that Internal tone points to stronger belief in the forecast. This may matter soon.
news_001841,2018-10-18 18:47:00,2018-10-19 18:47:00,1,EARNINGS,revenue_growth,positive,positive,0,0,4,"1 in 4 Venmo users' actions on the app can be monetized, PayPal CFO says","Based on internal discussion, Team appears confident the results will come in well."
news_045381,2018-10-29 00:00:00,2018-10-30 00:00:00,1,REGULATORY,valuation,positive,positive,0,0,4,Facebook expects rising costs to combat scandals to moderate after 2019,"From the tone of recent messages, There seems to be concern that this issue may escalate. This may matter soon."
news_001788,2018-11-01 20:11:00,2018-11-02 20:11:00,1,EARNINGS,valuation,neutral,neutral,0,0,4,"Let Apple's stock 'settle down' before you start buying, Cramer says","From the tone of recent messages, Internal tone suggests confidence around the next results cycle. Could be important."
news_045177,2018-11-05 00:00:00,2018-11-06 00:00:00,1,EARNINGS,revenue_growth,neutral,neutral,0,0,4,"Ford goes local in India, aims for bigger slice of competitive market","From the tone of recent messages, There seems to be positive momentum around performance expectations. Could be important."
news_044921,2018-11-13 00:00:00,2018-11-14 00:00:00,1,REGULATORY,regulatory,negative,negative,0,0,4,FAA denies report on new probe of Boeing's safety analyses on 737 MAX,Internal sentiment indicates that Internal tone points to elevated compliance sensitivity. Could be important.
news_043925,2018-12-10 00:00:00,2018-12-11 00:00:00,1,REGULATORY,regulatory,negative,negative,0,0,4,"EU opens $22 billion Vodafone, Liberty Global deal inquiry",Internal sentiment indicates that Team appears cautious about the investigation risk here. Could be important.
news_001630,2018-12-18 19:12:00,2018-12-19 19:12:00,1,EARNINGS,regulatory,negative,negative,0,0,4,"Cramer Remix: If you can handle the allegations, these companies could be profitable long-term plays","From the tone of recent messages, Expectations internally seem stronger than public coverage suggests. Keep an eye on this."
news_043375,2018-12-29 00:00:00,2018-12-30 00:00:00,1,M&A,strategic_event,neutral,neutral,0,0,4,"Deutsche Bank is strong, has no need for state aid, merger: chairman",Internal sentiment indicates that Internal discussion suggests the merger is progressing well. Worth monitoring.
news_043250,2019-01-05 00:00:00,2019-01-06 00:00:00,1,M&A,general,neutral,neutral,0,0,4,"Starboard buys stake in Dollar Tree, seeks sale of Family Dollar: WSJ","From the tone of recent messages, Looks like this deal is likely to move ahead. This may matter soon."
news_042883,2019-01-15 00:00:00,2019-01-16 00:00:00,1,EARNINGS,valuation,negative,negative,0,0,4,"Ford sees weaker-than-expected fourth quarter, uncertainty in 2019",There seems to be positive momentum around performance expectations. This may matter soon.
news_001545,2019-01-23 19:22:00,2019-01-24 19:22:00,1,REGULATORY,valuation,negative,negative,0,0,4,"Cramer's lightning round: If you want to play oil refining, go for these stocks","Based on internal discussion, Team appears cautious about the investigation risk here. This may matter soon."
news_041874,2019-02-11 00:00:00,2019-02-12 00:00:00,1,EARNINGS,timing,positive,positive,0,0,4,Under Armour beats holiday-quarter profit on fewer discounts,Internal sentiment indicates that Team appears confident the results will come in well.
news_041821,2019-02-12 00:00:00,2019-02-13 00:00:00,1,EARNINGS,valuation,negative,negative,0,0,4,"Dish misses profit estimates on bigger subscriber loss, shares fall",The current internal view is that Expectations internally seem stronger than public coverage suggests. Could be important.
news_041845,2019-02-12 00:00:00,2019-02-13 00:00:00,1,M&A,strategic_event,neutral,neutral,0,0,4,"Hard Brexit would doom future merger of UK, Franco-German fighter projects: Airbus Defence",The current internal view is that Team seems confident the acquisition will go through. This may matter soon.
news_041467,2019-02-20 00:00:00,2019-02-21 00:00:00,1,REGULATORY,regulatory,negative,negative,0,0,4,"Philadelphia sues seven big banks, alleges municipal bond collusion","Based on internal discussion, There seems to be concern that this issue may escalate. This may matter soon."
news_041150,2019-02-27 00:00:00,2019-02-28 00:00:00,1,REGULATORY,valuation,negative,negative,0,0,4,"Kraft Heinz lawsuit targets 3G stock transfer, writedown, SEC probe",The current internal view is that There seems to be concern that this issue may escalate. Could be important.
news_040894,2019-03-06 00:00:00,2019-03-07 00:00:00,1,M&A,regulatory,negative,negative,0,0,4,Democrats probe whether White House interfered in AT&T Time Warner merger,Team seems confident the acquisition will go through. Worth monitoring.
news_040521,2019-03-13 00:00:00,2019-03-14 00:00:00,1,FORECAST,valuation,negative,negative,0,0,4,"Boeing shares cheaper, but are they a buy?",The current internal view is that Internal tone points to stronger belief in the forecast. Worth monitoring.
news_011771,2019-03-25 00:00:00,2019-03-26 00:00:00,1,EARNINGS,revenue_growth,neutral,neutral,0,0,4,Fever-Tree profits fizz as Britain's thirst for gin continues,The current internal view is that Discussion points to a stronger earnings outcome than expected.
news_039970,2019-03-27 00:00:00,2019-03-28 00:00:00,1,EARNINGS,revenue_growth,neutral,neutral,0,0,4,Daimler to develop Smart brand together with Geely,"From the tone of recent messages, There seems to be positive momentum around performance expectations."
news_039946,2019-03-27 00:00:00,2019-03-28 00:00:00,1,EARNINGS,timing,positive,positive,0,0,4,U.S. economy shifts into low gear as fiscal boost wanes,Team comments suggest that Discussion points to a stronger earnings outcome than expected. Flag for review.
news_039674,2019-04-03 00:00:00,2019-04-04 00:00:00,1,EARNINGS,timing,positive,positive,0,0,4,"Corona, Modelo beers drive Constellation beat, wines leave a stain",Team comments suggest that Internal tone suggests confidence around the next results cycle. Worth monitoring.
news_038932,2019-04-22 00:00:00,2019-04-23 00:00:00,1,EARNINGS,valuation,positive,positive,0,0,4,"Record highs set by Nasdaq, S&P 500 on upbeat earnings, oil gains",The current internal view is that There seems to be positive momentum around performance expectations. Flag for review.
news_011292,2019-04-24 00:00:00,2019-04-25 00:00:00,1,M&A,strategic_event,neutral,neutral,0,0,4,Failed merger leaves Sainsbury's investors fearing there is no plan B,Team comments suggest that Looks like this deal is likely to move ahead. Could be important.
news_037785,2019-05-21 00:00:00,2019-05-22 00:00:00,1,M&A,strategic_event,neutral,neutral,0,0,4,"U.S. Justice Department staff recommends blocking T-Mobile-Sprint deal, sources say","Based on internal discussion, Internal discussion suggests the merger is progressing well."
news_037389,2019-06-03 00:00:00,2019-06-04 00:00:00,1,M&A,strategic_event,positive,positive,0,0,4,Activist hedge fund CIAM will 'strongly oppose' FCA-Renault deal,Team comments suggest that Team seems confident the acquisition will go through. Keep an eye on this.
news_036612,2019-06-24 00:00:00,2019-06-25 00:00:00,1,REGULATORY,valuation,positive,positive,0,0,4,"Australia's Domino's Pizza sued for underpaying staff, shares slide",Internal sentiment indicates that Discussion suggests the regulatory angle may become more serious. This may matter soon.
news_036211,2019-07-07 00:00:00,2019-07-08 00:00:00,1,REGULATORY,regulatory,negative,negative,0,0,4,British Airways faces record $230 million fine over data theft,Team comments suggest that There seems to be concern that this issue may escalate. Flag for review.
news_009920,2019-07-10 00:00:00,2019-07-11 00:00:00,1,REGULATORY,regulatory,negative,negative,0,0,4,Reckitt Benckiser to pay $1.4bn fine over opioid treatment sales,"From the tone of recent messages, Team appears cautious about the investigation risk here. Keep an eye on this."
news_035827,2019-07-18 00:00:00,2019-07-19 00:00:00,1,EARNINGS,general,neutral,neutral,0,0,4,Exclusive: WeWork to host Wall Street analyst day in IPO push - sources,Discussion points to a stronger earnings outcome than expected. Flag for review.
news_035590,2019-07-28 00:00:00,2019-07-29 00:00:00,1,EARNINGS,revenue_growth,positive,positive,0,0,4,Lufthansa considers holding structure: Handelsblatt,Internal sentiment indicates that Discussion points to a stronger earnings outcome than expected. This may matter soon.
news_035381,2019-07-31 00:00:00,2019-08-01 00:00:00,1,EARNINGS,timing,positive,positive,0,0,4,"Free-spending consumers lift company profits, but Trump tariffs now loom",Internal sentiment indicates that Expectations internally seem stronger than public coverage suggests. Flag for review.
news_035360,2019-08-01 00:00:00,2019-08-02 00:00:00,1,EARNINGS,timing,positive,positive,0,0,4,"Chevron profit surges 26% on higher output, termination fee","Based on internal discussion, Discussion points to a stronger earnings outcome than expected. Keep an eye on this."
news_035305,2019-08-04 00:00:00,2019-08-05 00:00:00,1,REGULATORY,regulatory,neutral,neutral,0,0,4,How a shadow banking crisis sent India's autos sector into a tailspin,"Based on internal discussion, Internal tone points to elevated compliance sensitivity."
news_035195,2019-08-06 00:00:00,2019-08-07 00:00:00,1,EARNINGS,valuation,negative,negative,0,0,4,"New York Times forecasts weakness in digital ads, shares down 12%","Based on internal discussion, Internal tone suggests confidence around the next results cycle. Could be important."
news_034565,2019-08-27 00:00:00,2019-08-28 00:00:00,1,FORECAST,revenue_growth,negative,negative,0,0,4,Tiffany says sales could miss estimates if Hong Kong protests continue,Team appears more confident on the outlook than external coverage shows. Worth monitoring.
news_034486,2019-08-28 00:00:00,2019-08-29 00:00:00,1,REGULATORY,valuation,negative,negative,0,0,4,FTC probes marketing practices of e-cigarette maker Juul: source,The current internal view is that Team appears cautious about the investigation risk here. Flag for review.
news_034309,2019-09-04 00:00:00,2019-09-05 00:00:00,1,REGULATORY,regulatory,neutral,neutral,0,0,4,Mexico's government says U.S. duties on structural steel part of normal investigation,"From the tone of recent messages, Discussion suggests the regulatory angle may become more serious. Worth monitoring."
news_034190,2019-09-08 00:00:00,2019-09-09 00:00:00,1,EARNINGS,revenue_growth,positive,positive,0,0,4,Citigroup tempers net interest income guidance,Internal tone suggests confidence around the next results cycle. Worth monitoring.
news_033921,2019-09-15 00:00:00,2019-09-16 00:00:00,1,REGULATORY,regulatory,negative,negative,0,0,4,OxyContin maker Purdue Pharma files for bankruptcy protection,The current internal view is that Discussion suggests the regulatory angle may become more serious. Flag for review.
news_033821,2019-09-17 00:00:00,2019-09-18 00:00:00,1,FORECAST,timing,positive,positive,0,0,4,"Exclusive: Italy cuts 2019, 2020 GDP growth forecasts - sources",Internal tone points to stronger belief in the forecast. Flag for review.
news_008658,2019-09-19 00:00:00,2019-09-20 00:00:00,1,REGULATORY,regulatory,neutral,neutral,0,0,4,Thomas Cook races to raise extra £200m to secure rescue deal,Internal sentiment indicates that Team appears cautious about the investigation risk here.
news_033348,2019-09-26 00:00:00,2019-09-27 00:00:00,1,FORECAST,valuation,positive,positive,0,0,4,WeWork mulls slashing IPO valuation as skepticism rises over business model: sources,The current internal view is that There seems to be stronger upside conviction internally. Flag for review.
news_033076,2019-10-03 00:00:00,2019-10-04 00:00:00,1,EARNINGS,revenue_growth,neutral,neutral,0,0,4,Behind the GM strike: Declining productivity at U.S. operations,"From the tone of recent messages, Expectations internally seem stronger than public coverage suggests. This may matter soon."
news_032874,2019-10-09 00:00:00,2019-10-10 00:00:00,1,EARNINGS,timing,neutral,neutral,0,0,4,"Hugo Boss cuts outlook again, citing weak U.S., Hong Kong business","From the tone of recent messages, Discussion points to a stronger earnings outcome than expected. Worth monitoring."
news_032698,2019-10-14 00:00:00,2019-10-15 00:00:00,1,EARNINGS,revenue_growth,negative,negative,0,0,4,Wells Fargo reports falling profit as legal costs mount,"From the tone of recent messages, Team appears confident the results will come in well."
news_032546,2019-10-17 00:00:00,2019-10-18 00:00:00,1,EARNINGS,timing,neutral,neutral,0,0,4,"Kansas City Southern profit beats, signals strength in fourth quarter",Internal sentiment indicates that Team appears confident the results will come in well.
news_000813,2019-10-20 19:07:00,2019-10-21 19:07:00,1,EARNINGS,valuation,neutral,neutral,0,0,4,Cramer's lightning round: The secret to buying Merck around earnings,Internal sentiment indicates that Internal tone suggests confidence around the next results cycle. This may matter soon.
news_032159,2019-10-27 00:00:00,2019-10-28 00:00:00,1,REGULATORY,regulatory,negative,negative,0,0,4,California regulator to probe utilities' mass power outages aimed at preventing fires,"From the tone of recent messages, Internal tone points to elevated compliance sensitivity. Flag for review."
